municipality_id,name,country_code
248,"Ràfol d'Almúnia, el",ES
249,Redován,ES
250,Relleu,ES
251,Rojales,ES
252,"Romana, la",ES
253,Sagra,ES
254,Salinas,ES
255,"San Fulgencio",ES
256,"San Isidro",ES
257,"San Miguel de Salinas",ES
258,"San Vicente del Raspeig/Sant Vicent del Raspeig",ES
259,"Sanet y Negrals",ES
260,"Sant Joan d'Alacant",ES
261,"Santa Pola",ES
262,Sax,ES
263,Sella,ES
264,Senija,ES
265,Tàrbena,ES
266,Teulada,ES
267,Tibi,ES
268,Tollos,ES
269,Tormos,ES
270,"Torremanzanas/Torre de les Maçanes, la",ES
271,Torrevieja,ES
272,"Vall d'Alcalà, la",ES
273,"Vall de Gallinera",ES
274,"Vall de Laguar, la",ES
275,"Vall d'Ebo, la",ES
276,"Verger, el",ES
277,"Villajoyosa/Vila Joiosa, la",ES
278,Villena,ES
279,Xaló,ES
280,Abla,ES
281,Abrucena,ES
282,Adra,ES
283,Albánchez,ES
284,Alboloduy,ES
285,Albox,ES
286,Alcolea,ES
287,Alcóntar,ES
288,"Alcudia de Monteagud",ES
289,Alhabia,ES
290,"Alhama de Almería",ES
291,Alicún,ES
292,Almería,ES
293,Almócita,ES
294,Alsodux,ES
295,Antas,ES
296,Arboleas,ES
297,"Armuña de Almanzora",ES
298,Bacares,ES
299,Bayárcal,ES
300,Bayarque,ES
301,Bédar,ES
302,Beires,ES
303,Benahadux,ES
304,Benitagla,ES
305,Benizalón,ES
306,Bentarique,ES
307,Berja,ES
308,Canjáyar,ES
309,Cantoria,ES
310,Carboneras,ES
311,"Castro de Filabres",ES
312,Chercos,ES
313,Chirivel,ES
314,Cóbdar,ES
315,"Cuevas del Almanzora",ES
316,Dalías,ES
317,"Ejido, El",ES
318,Enix,ES
319,Felix,ES
320,Fines,ES
321,Fiñana,ES
322,Fondón,ES
323,Gádor,ES
324,"Gallardos, Los",ES
325,Garrucha,ES
326,Gérgal,ES
327,Huécija,ES
328,"Huércal de Almería",ES
329,Huércal-Overa,ES
330,Illar,ES
331,Instinción,ES
332,Laroya,ES
333,"Láujar de Andarax",ES
334,Líjar,ES
335,Lubrín,ES
336,"Lucainena de las Torres",ES
337,Lúcar,ES
338,Macael,ES
339,María,ES
340,Mojácar,ES
341,"Mojonera, La",ES
342,Nacimiento,ES
343,Níjar,ES
344,Ohanes,ES
345,"Olula de Castro",ES
346,"Olula del Río",ES
347,Oria,ES
348,Padules,ES
349,Partaloa,ES
350,"Paterna del Río",ES
351,Pechina,ES
352,Pulpí,ES
353,Purchena,ES
354,Rágol,ES
355,Rioja,ES
356,"Roquetas de Mar",ES
357,"Santa Cruz de Marchena",ES
358,"Santa Fe de Mondújar",ES
359,Senés,ES
360,Serón,ES
361,Sierro,ES
362,Somontín,ES
363,Sorbas,ES
364,Suflí,ES
365,Tabernas,ES
366,Taberno,ES
367,Tahal,ES
368,Terque,ES
369,Tíjola,ES
370,"Tres Villas, Las",ES
371,Turre,ES
372,Turrillas,ES
373,"Uleila del Campo",ES
374,Urrácal,ES
375,Velefique,ES
376,Vélez-Blanco,ES
377,Vélez-Rubio,ES
378,Vera,ES
379,Viator,ES
380,Vícar,ES
381,Zurgena,ES
382,Adanero,ES
383,"Adrada, La",ES
384,Albornos,ES
385,"Aldeanueva de Santa Cruz",ES
386,Aldeaseca,ES
387,"Aldehuela, La",ES
388,Amavida,ES
389,"Arenal, El",ES
390,"Arenas de San Pedro",ES
391,Arevalillo,ES
392,Arévalo,ES
393,Aveinte,ES
394,Avellaneda,ES
395,Ávila,ES
396,"Barco de Ávila, El",ES
397,"Barraco, El",ES
398,Barromán,ES
399,Becedas,ES
400,Becedillas,ES
401,"Bercial de Zapardiel",ES
402,"Berlanas, Las",ES
403,Bernuy-Zapardiel,ES
404,"Berrocalejo de Aragona",ES
405,Blascomillán,ES
406,"Blasconuño de Matacabras",ES
407,Blascosancho,ES
408,"Bohodón, El",ES
409,Bohoyo,ES
410,"Bonilla de la Sierra",ES
411,Brabos,ES
412,Bularros,ES
413,Burgohondo,ES
414,"Cabezas de Alambre",ES
415,"Cabezas del Pozo",ES
416,"Cabezas del Villar",ES
417,Cabizuela,ES
418,Canales,ES
419,Candeleda,ES
420,Cantiveros,ES
421,Cardeñosa,ES
422,"Carrera, La",ES
423,"Casas del Puerto",ES
424,Casasola,ES
425,Casavieja,ES
426,Casillas,ES
427,"Castellanos de Zapardiel",ES
428,Cebreros,ES
429,"Cepeda la Mora",ES
430,Chamartín,ES
431,Cillán,ES
432,Cisla,ES
433,"Colilla, La",ES
434,"Collado de Contreras",ES
435,"Collado del Mirón",ES
436,Constanzana,ES
437,Crespos,ES
438,"Cuevas del Valle",ES
439,"Diego del Carpio",ES
440,Donjimeno,ES
441,Donvidas,ES
442,"Espinosa de los Caballeros",ES
443,"Flores de Ávila",ES
444,Fontiveros,ES
445,Fresnedilla,ES
446,"Fresno, El",ES
447,"Fuente el Saúz",ES
448,"Fuentes de Año",ES
449,"Gallegos de Altamiros",ES
450,"Gallegos de Sobrinos",ES
451,"Garganta del Villar",ES
452,Gavilanes,ES
453,Gemuño,ES
454,"Gil García",ES
455,Gilbuena,ES
456,Gimialcón,ES
457,Gotarrendura,ES
458,"Grandes y San Martín",ES
459,Guisando,ES
460,Gutierre-Muñoz,ES
461,Hernansancho,ES
462,"Herradón de Pinares",ES
463,"Herreros de Suso",ES
464,"Higuera de las Dueñas",ES
465,"Hija de Dios, La",ES
466,"Horcajada, La",ES
467,"Horcajo de las Torres",ES
468,"Hornillo, El",ES
469,"Hoyo de Pinares, El",ES
470,Hoyocasero,ES
471,Hoyorredondo,ES
472,"Hoyos de Miguel Muñoz",ES
473,"Hoyos del Collado",ES
474,"Hoyos del Espino",ES
475,Hurtumpascual,ES
476,Junciana,ES
477,Langa,ES
478,Lanzahíta,ES
479,"Llanos de Tormes, Los",ES
480,"Losar del Barco, El",ES
481,"Madrigal de las Altas Torres",ES
482,Maello,ES
483,"Malpartida de Corneja",ES
484,Mamblas,ES
485,"Mancera de Arriba",ES
486,"Manjabálago y Ortigosa de Rioalmar",ES
487,Marlín,ES
488,Martiherrero,ES
489,Martínez,ES
490,"Mediana de Voltoya",ES
491,Medinilla,ES
492,Mengamuñoz,ES
493,"Mesegar de Corneja",ES
494,Mijares,ES
495,Mingorría,ES
496,"Mirón, El",ES
497,Mironcillo,ES
498,"Mirueña de los Infanzones",ES
499,Mombeltrán,ES
500,Monsalupe,ES
501,"Moraleja de Matacabras",ES
502,Muñana,ES
503,Muñico,ES
504,Muñogalindo,ES
505,Muñogrande,ES
506,"Muñomer del Peco",ES
507,Muñopepe,ES
508,Muñosancho,ES
509,Muñotello,ES
510,"Narrillos del Álamo",ES
511,"Narrillos del Rebollar",ES
512,"Narros de Saldueña",ES
513,"Narros del Castillo",ES
514,"Narros del Puerto",ES
515,"Nava de Arévalo",ES
516,"Nava del Barco",ES
517,"Navacepedilla de Corneja",ES
518,Navadijos,ES
519,Navaescurial,ES
520,Navahondilla,ES
521,Navalacruz,ES
522,Navalmoral,ES
523,Navalonguilla,ES
524,Navalosa,ES
525,"Navalperal de Pinares",ES
526,"Navalperal de Tormes",ES
527,Navaluenga,ES
528,Navaquesera,ES
529,"Navarredonda de Gredos",ES
530,Navarredondilla,ES
531,Navarrevisca,ES
532,"Navas del Marqués, Las",ES
533,Navatalgordo,ES
534,Navatejares,ES
535,"Neila de San Miguel",ES
536,Niharra,ES
537,Ojos-Albos,ES
538,Orbita,ES
539,"Oso, El",ES
540,Padiernos,ES
541,"Pajares de Adaja",ES
542,"Palacios de Goda",ES
543,Papatrigo,ES
544,"Parral, El",ES
545,Pascualcobo,ES
546,"Pedro Bernardo",ES
547,Pedro-Rodríguez,ES
548,Peguerinos,ES
549,"Peñalba de Ávila",ES
550,Piedrahíta,ES
551,Piedralaves,ES
552,Poveda,ES
553,"Poyales del Hoyo",ES
554,Pozanco,ES
555,Pradosegar,ES
556,"Puerto Castilla",ES
557,Rasueros,ES
558,Riocabado,ES
559,Riofrío,ES
560,"Rivilla de Barajas",ES
561,Salobral,ES
562,Salvadiós,ES
563,"San Bartolomé de Béjar",ES
564,"San Bartolomé de Corneja",ES
565,"San Bartolomé de Pinares",ES
566,"San Esteban de los Patos",ES
567,"San Esteban de Zapardiel",ES
568,"San Esteban del Valle",ES
569,"San García de Ingelmos",ES
570,"San Juan de Gredos",ES
571,"San Juan de la Encinilla",ES
572,"San Juan de la Nava",ES
573,"San Juan del Molinillo",ES
574,"San Juan del Olmo",ES
575,"San Lorenzo de Tormes",ES
576,"San Martín de la Vega del Alberche",ES
577,"San Martín del Pimpollar",ES
578,"San Miguel de Corneja",ES
579,"San Miguel de Serrezuela",ES
580,"San Pascual",ES
581,"San Pedro del Arroyo",ES
582,"San Vicente de Arévalo",ES
583,Sanchidrián,ES
584,Sanchorreja,ES
585,"Santa Cruz de Pinares",ES
586,"Santa Cruz del Valle",ES
587,"Santa María de los Caballeros",ES
588,"Santa María del Arroyo",ES
589,"Santa María del Berrocal",ES
590,"Santa María del Cubillo",ES
591,"Santa María del Tiétar",ES
592,"Santiago del Collado",ES
593,"Santiago del Tormes",ES
594,"Santo Domingo de las Posadas",ES
595,"Santo Tomé de Zabarcos",ES
596,"Serrada, La",ES
597,Serranillos,ES
598,Sigeres,ES
599,Sinlabajos,ES
600,"Solana de Ávila",ES
601,"Solana de Rioalmar",ES
602,Solosancho,ES
603,Sotalbo,ES
604,"Sotillo de la Adrada",ES
605,"Tiemblo, El",ES
606,Tiñosillos,ES
607,Tolbaños,ES
608,Tormellas,ES
609,"Tornadizos de Ávila",ES
610,"Torre, La",ES
611,Tórtoles,ES
612,Umbrías,ES
613,"Vadillo de la Sierra",ES
614,Valdecasa,ES
615,"Vega de Santa María",ES
616,Velayos,ES
617,Villaflor,ES
618,"Villafranca de la Sierra",ES
619,"Villanueva de Ávila",ES
620,"Villanueva de Gómez",ES
621,"Villanueva del Aceral",ES
622,"Villanueva del Campillo",ES
623,"Villar de Corneja",ES
